#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution conditionOnRhoSampling="true" id="FBD.t:PterosaurSmall" spec="sa.evolution.speciation.SABirthDeathModel">
#            <parameter id="originFBD.t:PterosaurSmall" lower="35.0" name="origin" spec="beast.base.inference.parameter.RealParameter" upper="150.0">70.0</parameter>
#            <parameter id="diversificationRateFBD.t:PterosaurSmall" lower="0.0" name="diversificationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <parameter id="turnoverFBD.t:PterosaurSmall" lower="0.0" name="turnover" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="samplingProportionFBD.t:PterosaurSmall" lower="0.0" name="samplingProportion" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="rFBD.t:PterosaurSmall" lower="0.0" name="removalProbability" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <parameter estimate="false" id="rhoFBD.t:PterosaurSmall" lower="0.0" name="rho" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <tree id="Tree.t:PterosaurSmall" spec="beast.base.evolution.tree.Tree">
#                <trait id="dateTrait.t:PterosaurSmall" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="Austriadactylus cristatus=216.65,Austriadraco dallavecchiai=216.65,Caelestiventus hanseni=208.8,Carniadactylus rosenfeldi=217.25,Dromomeron gigas=210.35,Dromomeron gregorii=225.5,Dromomeron romeri=209.75,Eudimorphodon ranzii=217.25,Faxinalipterus minimus=225.42,Ixalerpeton polesinensis=233.23,Kongonaphon kely=238.25,Lagerpeton chanarensis=235,Maehary bonapartei=225.42,Pachagnathus benitoi=210.35,Peteinosaurus zambellii=217.25,Preondactylus buffarinii=216.8,PVSJ 883=229.35,Raeticodactylus filisurensis=212.25,Scleromochlus taylori=230.48,Seazzadactylus venieri=217.4,Yelaphomte praderioi=210.35">
#                    <taxa id="TaxonSet.PterosaurSmall" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.PterosaurSmall"/>
#            </tree>
#        </distribution>
#        <prior id="ClockPrior.c:PterosaurSmall" name="distribution">
#            <parameter id="clockRate.c:PterosaurSmall" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="diversificationRatePriorFBD.t:PterosaurSmall" name="distribution" x="@diversificationRateFBD.t:PterosaurSmall">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.base.inference.parameter.RealParameter">0.1</parameter>
#            </Gamma>
#        </prior>
#        <prior id="GammaShapePrior.s:PterosaurSmall" name="distribution">
#            <parameter id="gammaShape.s:PterosaurSmall" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="originPriorFBD.t:PterosaurSmall" name="distribution" x="@originFBD.t:PterosaurSmall">
#            <Uniform id="Uniform.3" lower="35.0" name="distr" upper="150.0"/>
#        </prior>
#        <prior id="PropInvariantPrior.s:PterosaurSmall" name="distribution">
#            <parameter id="proportionInvariant.s:PterosaurSmall" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="samplingProportionPriorFBD.t:PterosaurSmall" name="distribution" x="@samplingProportionFBD.t:PterosaurSmall">
#            <Uniform id="Uniform.6" name="distr"/>
#        </prior>
#        <prior id="turnoverPriorFBD.t:PterosaurSmall" name="distribution" x="@turnoverFBD.t:PterosaurSmall">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@PterosaurSmall" id="treeLikelihood.PterosaurSmall" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:PterosaurSmall">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:PterosaurSmall" proportionInvariant="@proportionInvariant.s:PterosaurSmall" shape="@gammaShape.s:PterosaurSmall" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:PterosaurSmall" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="LewisMK.s:PterosaurSmall" spec="morphmodels.evolution.substitutionmodel.LewisMK" stateNumber="7"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:PterosaurSmall" id="StrictClock.c:PterosaurSmall" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	mutationRate	proportionInvariant	gammaShape	FBD	diversificationRateFBD	turnoverFBD	samplingProportionFBD	originFBD	SACountFBD
22000	-2871.0904879476857	-2757.5543171484337	-113.5361707992519	-2757.5543171484337	40.171972875355316	131.42691355787792	0.008548831623319982	1.0	0.0	1.5443985709464136	-106.17017343207817	0.06594254861965826	0.9230967993316156	0.04118918911339934	41.4748347913597	1
23000	-2870.6836774564454	-2752.563946214939	-118.11973124150639	-2752.563946214939	39.40426069833939	145.3892486864052	0.008548831623319982	1.0	0.0	1.5443985709464136	-110.04242989937501	0.020567947082518086	0.9563559080378973	0.061132995804801867	44.33929745105465	2
24000	-2870.864781327235	-2751.869099160739	-118.99568216649585	-2751.869099160739	38.92623838171171	139.7648076049514	0.008548831623319982	1.0	0.0	1.5443985709464136	-111.63171425173056	0.06633897913940182	0.9205356442901768	0.022891749833092345	53.76421276243642	1
25000	-2874.5442881204303	-2754.033325349544	-120.51096277088627	-2754.033325349544	39.933329680237186	151.4015965418791	0.008548831623319982	1.0	0.0	1.5443985709464136	-112.79093626737631	0.03343881821342517	0.9023127698483437	0.12964120258251582	43.12836309316944	2
26000	-2885.1338502015205	-2755.7106170714187	-129.4232331301018	-2755.7106170714187	44.144616788275194	194.86036457102742	0.0059405615150074755	1.0	0.0	1.5443985709464136	-122.05516249833943	0.06549509601472975	0.828699442912802	0.06964443725595769	44.26260561476924	1
27000	-2875.109797460389	-2748.809421703728	-126.30037575666097	-2748.809421703728	43.57441023759091	184.02153401015303	0.0059405615150074755	1.0	0.0	1.5443985709464136	-118.93413407033039	0.06584495372376407	0.8957060253469931	0.02739138941911254	44.045538533585244	3
28000	-2876.528810125614	-2752.842323393438	-123.68648673217582	-2752.842323393438	45.00964379568702	166.89181906667773	0.006951259644618679	1.0	0.0	1.5443985709464136	-116.39124137614829	0.09012779283428635	0.8686708900688268	0.03696191273947855	45.24345087083544	1
29000	-2882.9977702235824	-2754.382965900524	-128.61480432305825	-2754.382965900524	45.18634185805414	173.84071124202697	0.005352258588317133	1.0	0.0	1.5443985709464136	-121.3198515676389	0.11042839089369293	0.7548618834803589	0.09012980246583664	48.027212494750756	2
30000	-2878.053330976008	-2749.5114545306265	-128.54187644538155	-2749.5114545306265	45.348951250328845	178.2215399658702	0.006680525862920576	1.0	0.0	1.5443985709464136	-121.20515150866333	0.07246245118737268	0.8573346623355538	0.024319953475715757	46.64165244139633	3
31000	-2872.0228549740295	-2743.137678278624	-128.88517669540525	-2743.137678278624	45.871101732248505	182.28751467156712	0.006680525862920576	1.0	0.0	1.5443985709464136	-121.38549414128673	0.04839874032261835	0.823415686023331	0.1003548231390654	55.42800286082707	2
32000	-2871.430574175169	-2753.722653671273	-117.70792050389633	-2753.722653671273	40.30758783397265	139.7230896171275	0.00849617529360175	1.0	0.0	1.5443985709464136	-110.40896497205078	0.08733063728329156	0.8389966046724234	0.049365849337036714	41.72314008027112	3
33000	-2869.306094721785	-2750.9858985779615	-118.32019614382372	-2750.9858985779615	41.76491371212744	147.52773066087863	0.00819492833557482	1.0	0.0	1.5443985709464136	-110.92334702643699	0.060627142023456086	0.8934244625573959	0.04507240737800144	44.37421739319843	2
34000	-2874.8732871992424	-2753.952348654937	-120.92093854430566	-2753.952348654937	39.88880424607412	150.2555966461651	0.007695282282833303	1.0	0.0	1.5443985709464136	-112.80065390455367	0.01948961897414766	0.9403651359781521	0.11441899151991389	46.001177468747514	2
35000	-2881.759534502034	-2761.913203316478	-119.84633118555621	-2761.913203316478	39.51103977023405	151.352856482508	0.007695282282833303	1.0	0.0	1.244564188415266	-112.77983515754948	0.06586168341682799	0.8900230626150105	0.06264098775825473	41.13104182242594	0
36000	-2880.4400289252158	-2760.2468016103167	-120.19322731489895	-2760.2468016103167	39.797308668429686	153.44707702026315	0.007695282282833303	1.0	0.0	1.244564188415266	-113.11918994101212	0.06445161859933382	0.8320585566483001	0.0686787190207748	40.24212288741037	3
37000	-2878.2368485225043	-2750.8092461222805	-127.42760240022395	-2750.8092461222805	44.88764747854281	181.94257020367374	0.007695282282833303	1.0	0.0	1.244564188415266	-119.94238918993067	0.030390402254303547	0.8114056873198189	0.2964227484079817	47.15784649751158	4
38000	-2879.867841275982	-2748.5914171084314	-131.27642416755057	-2748.5914171084314	45.687371058857025	182.80750969779606	0.006824689948091022	1.0	0.0	1.244564188415266	-124.17165012962471	0.059441104036238486	0.7520768460366813	0.17830398480591608	57.825538100352595	2
39000	-2873.168859071113	-2749.463920191297	-123.70493887981605	-2749.463920191297	42.441567680182345	165.52447911579475	0.006824689948091022	1.0	0.0	1.244564188415266	-116.67559204273486	0.07455940338368815	0.8326970046134811	0.060443006989450494	43.75909063484817	1
40000	-2873.7492061632524	-2756.898175569377	-116.8510305938751	-2756.898175569377	40.507783938669654	139.32526543693712	0.008361878965907989	1.0	0.0	1.244564188415266	-109.84582586610038	0.083730322506943	0.8867744649659988	0.04953441097952201	43.27706573300781	1
41000	-2877.6405794846096	-2753.0447994255496	-124.5957800590601	-2753.0447994255496	43.08431458487822	170.2911884746044	0.007253116381671963	1.0	0.0	1.244564188415266	-117.09685299224738	0.029798147306550886	0.9591504620933174	0.035490507466688845	51.332949515337525	1
42000	-2878.1995940765323	-2753.3818600286722	-124.81773404786027	-2753.3818600286722	43.91595358407712	179.0504473910298	0.007253116381671963	1.0	0.0	1.244564188415266	-117.75712175753506	0.06701765132991694	0.9511616317858588	0.005993876560705029	48.33354075171845	0
43000	-2868.9895671096006	-2748.874070840675	-120.11549626892582	-2748.874070840675	41.91374154418709	157.4635840150558	0.008117447609046891	1.0	0.0	1.244564188415266	-113.03143065893951	0.06270860642760424	0.9010950819456822	0.041761674317820754	43.23002075637172	0
44000	-2880.32066238841	-2747.3765595194304	-132.94410286897934	-2747.3765595194304	46.51711305388036	203.2221583185585	0.005454097038806527	1.0	0.0	1.244564188415266	-125.44096886071654	0.029612766507799516	0.8155211702239543	0.22163174632643684	49.866650596699344	2
45000	-2881.687538096997	-2748.885962330859	-132.80157576613777	-2748.885962330859	52.65505233278466	216.29908306282314	0.005454097038806527	1.0	0.0	1.244564188415266	-125.52926042327687	0.04238147229479572	0.8854216323513487	0.054486390398969395	57.543754463412	1
46000	-2887.7973852153013	-2757.0964486751054	-130.7009365401961	-2757.0964486751054	46.616455864277505	198.23534848194163	0.006245950777239242	1.0	0.0	1.244564188415266	-123.45516332519851	0.04442224303060514	0.8571870015394791	0.07862230623044605	53.515907520037004	1
