#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution conditionOnRhoSampling="true" id="FBD.t:PterosaurSmall" spec="sa.evolution.speciation.SABirthDeathModel">
#            <parameter id="originFBD.t:PterosaurSmall" lower="30.0" name="origin" spec="beast.base.inference.parameter.RealParameter" upper="100.0">70.0</parameter>
#            <parameter id="diversificationRateFBD.t:PterosaurSmall" lower="0.0" name="diversificationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <parameter id="turnoverFBD.t:PterosaurSmall" lower="0.0" name="turnover" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="samplingProportionFBD.t:PterosaurSmall" lower="0.0" name="samplingProportion" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="rFBD.t:PterosaurSmall" lower="0.0" name="removalProbability" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <parameter estimate="false" id="rhoFBD.t:PterosaurSmall" lower="0.0" name="rho" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <tree id="Tree.t:PterosaurSmall" spec="beast.base.evolution.tree.Tree">
#                <trait id="dateTrait.t:PterosaurSmall" spec="beast.base.evolution.tree.TraitSet" traitname="date-backward" value="Austriadactylus cristatus=216.65,Austriadraco dallavecchiai=216.65,Caelestiventus hanseni=208.8,Carniadactylus rosenfeldi=217.25,Dromomeron gigas=210.35,Dromomeron gregorii=225.5,Dromomeron romeri=209.75,Eudimorphodon ranzii=217.25,Ixalerpeton polesinensis=233.23,Kongonaphon kely=238.25,Lagerpeton chanarensis=235,Peteinosaurus zambellii=217.25,Preondactylus buffarinii=216.8,PVSJ 883=229.35,Raeticodactylus filisurensis=212.25,Scleromochlus taylori=230.48,Seazzadactylus venieri=217.4">
#                    <taxa id="TaxonSet.PterosaurSmall" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.PterosaurSmall"/>
#            </tree>
#        </distribution>
#        <prior id="ClockPrior.c:PterosaurSmall" name="distribution">
#            <parameter id="clockRate.c:PterosaurSmall" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="diversificationRatePriorFBD.t:PterosaurSmall" name="distribution" x="@diversificationRateFBD.t:PterosaurSmall">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.base.inference.parameter.RealParameter">0.1</parameter>
#            </Gamma>
#        </prior>
#        <prior id="GammaShapePrior.s:PterosaurSmall" name="distribution">
#            <parameter id="gammaShape.s:PterosaurSmall" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="originPriorFBD.t:PterosaurSmall" name="distribution" x="@originFBD.t:PterosaurSmall">
#            <Uniform id="Uniform.3" lower="30.0" name="distr" upper="100.0"/>
#        </prior>
#        <prior id="PropInvariantPrior.s:PterosaurSmall" name="distribution">
#            <parameter id="proportionInvariant.s:PterosaurSmall" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="samplingProportionPriorFBD.t:PterosaurSmall" name="distribution" x="@samplingProportionFBD.t:PterosaurSmall">
#            <Uniform id="Uniform.6" name="distr"/>
#        </prior>
#        <prior id="turnoverPriorFBD.t:PterosaurSmall" name="distribution" x="@turnoverFBD.t:PterosaurSmall">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@PterosaurSmall" id="treeLikelihood.PterosaurSmall" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:PterosaurSmall">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:PterosaurSmall" proportionInvariant="@proportionInvariant.s:PterosaurSmall" shape="@gammaShape.s:PterosaurSmall" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:PterosaurSmall" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="LewisMK.s:PterosaurSmall" spec="morphmodels.evolution.substitutionmodel.LewisMK" stateNumber="7"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:PterosaurSmall" id="StrictClock.c:PterosaurSmall" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	gammaShape	FBD	diversificationRateFBD	turnoverFBD	samplingProportionFBD	originFBD	SACountFBD	proportionInvariant
0	-4335.519897723417	-4085.4667786286986	-250.05311909471783	-4085.4667786286986	29.915629970577005	44.560828814430785	1.0	1.0	-237.0072089456625	1.0	0.5	0.5	70.0	0	0.0
1000	-3283.218608094027	-3220.9699460328325	-62.24866206119434	-3220.9699460328325	29.44999999999999	33.16534278861355	0.3666182457386182	1.0	-55.963504869729476	0.09995004000343552	0.843659028199939	0.458057616597757	30.961287006117733	9	0.0
2000	-2886.9937404513134	-2822.461243661794	-64.53249678951921	-2822.461243661794	29.44999999999999	37.86866670269143	0.08692901734574329	1.0	-58.245583330144356	0.07755759456980414	0.8814987953179224	0.33530886677249183	30.686432794926827	6	0.0
3000	-2797.9271871865167	-2727.705524446504	-70.2216627400126	-2727.705524446504	29.44999999999999	46.80915178312198	0.05473635584077147	1.0	-63.958067364274356	0.08675869076176071	0.8252644308436823	0.24689133362107804	34.849800846074736	6	0.0
4000	-2723.167000144784	-2641.942355115898	-81.22464502888636	-2641.942355115898	29.44999999999999	70.96331138708614	0.023435924499172964	1.0	-74.90816566345624	0.0680046648497423	0.9185797694793757	0.11906894628946604	30.24171054311671	2	0.0
5000	-2700.4098850192445	-2617.0280736686645	-83.3818113505801	-2617.0280736686645	30.907512079004267	83.20417201496886	0.012959163962385474	1.0	-76.92973518058582	0.04910252165230377	0.9248923324725894	0.07125135255428253	32.73427265594968	1	0.0
6000	-2699.8175589137822	-2609.6431049360704	-90.17445397771183	-2609.6431049360704	29.521960557641716	85.60974110042537	0.012959163962385474	1.0	-83.83300978918025	0.14913038029799278	0.830252760661246	0.05046048806636002	40.87308356765029	2	0.0
7000	-2700.4084263908676	-2613.239021128415	-87.16940526245274	-2613.239021128415	30.152721277887224	91.83973055698468	0.012959163962385474	1.3890828133232485	-80.52793848294904	0.10737500298640441	0.8985840804591363	0.01964281421226695	30.423797037111065	1	0.0
8000	-2704.0408148994443	-2614.832702858008	-89.20811204143648	-2614.832702858008	29.605971159269853	97.38529587385179	0.012959163962385474	1.3890828133232485	-82.36527905693845	0.04894154466203535	0.8923813008005307	0.09456650207745572	35.27133840945804	2	0.0
9000	-2698.5603046938777	-2609.7693518625856	-88.79095283129212	-2609.7693518625856	29.44999999999999	96.84725407667484	0.012959163962385474	1.3890828133232485	-82.10850715127779	0.0733103989673329	0.7828291084212485	0.18874090066667007	32.45987978914463	3	0.0
10000	-2705.0128100665083	-2611.3844575644484	-93.62835250206001	-2611.3844575644484	29.44999999999999	91.36951124267556	0.012959163962385474	1.3890828133232485	-86.84580169423515	0.16358226852852187	0.7064145249558671	0.18537276357881963	35.54839482929904	2	0.0
11000	-2700.1676803211312	-2613.045425435839	-87.12225488529207	-2613.045425435839	29.44999999999999	92.29471009237366	0.012959163962385474	1.3890828133232485	-80.30156848515392	0.051159977050093536	0.8661229207197675	0.1217025588996155	33.429522590268846	3	0.0
12000	-2699.8564186740805	-2612.22861813551	-87.62780053857047	-2612.22861813551	29.44999999999999	89.99144773622962	0.012959163962385474	0.8532022612854865	-81.4878903258003	0.07523100391683471	0.803986771604122	0.13077898000578259	35.1593292497827	2	0.0
13000	-2708.3197208208944	-2621.0693566655573	-87.25036415533695	-2621.0693566655573	29.44999999999999	91.81813307547242	0.012959163962385474	0.8532022612854865	-81.09043659641951	0.13764202365154055	0.7882020920438717	0.08342696630004211	30.26574100681812	4	0.0
14000	-2706.2528379441737	-2616.8405358020145	-89.41230214215898	-2616.8405358020145	29.44999999999999	91.75378996577784	0.012959163962385474	0.8532022612854865	-83.10991262283281	0.0493827903380051	0.6580910937499002	0.4456236870302978	32.33823612883951	4	0.0
15000	-2704.7892119321564	-2614.0234947704785	-90.7657171616779	-2614.0234947704785	30.220895355536534	94.68557504320519	0.012959163962385474	1.6267849465339255	-83.87891725513245	0.11498906688989384	0.872301165472948	0.04139127032223252	35.5183165663256	3	0.0
16000	-2704.615248551324	-2612.005259108038	-92.60998944328583	-2612.005259108038	29.44999999999999	92.75016491410514	0.012959163962385474	1.6267849465339255	-85.7302324162682	0.10818957297539403	0.7229000679581926	0.17386171908112208	43.30395858742653	2	0.0
17000	-2700.540698801129	-2609.035951971008	-91.50474683012078	-2609.035951971008	29.44999999999999	97.1630211028629	0.012959163962385474	1.6267849465339255	-84.55389362339233	0.06624168238704262	0.8097234321451362	0.22498034552401414	33.73309436501784	2	0.0
18000	-2710.180065056777	-2618.0214150385764	-92.15865001820076	-2618.0214150385764	30.8845923818829	94.93488970440336	0.012959163962385474	2.3057799172047897	-84.20852477972484	0.03528544048524035	0.8163885373257475	0.3042225595633479	31.732362536819554	2	0.0
19000	-2698.4982266848388	-2611.5184239238483	-86.97980276099042	-2611.5184239238483	30.402579283541126	92.98338055945105	0.012959163962385474	2.3057799172047897	-79.28367747044896	0.055906540398887025	0.9400355004070124	0.03176596709087841	33.11401120626121	0	0.0
20000	-2699.1371596900053	-2610.219073369493	-88.9180863205124	-2610.219073369493	30.063781092424556	88.00613824510242	0.012959163962385474	2.3057799172047897	-80.96639838589869	0.03520039352748251	0.9510563437462404	0.0859887961928544	35.6406347364228	2	0.0
21000	-2700.3445788584786	-2612.3248095463236	-88.01976931215498	-2612.3248095463236	29.44999999999999	91.90529194837066	0.012959163962385474	2.3057799172047897	-80.30345835614379	0.05347109822962392	0.9405454658734398	0.04859009150210718	31.853775250123586	2	0.0
