Iteration	Posterior	Likelihood	Prior	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	turnover
180	-155.4343	-31.46503	-123.9692	0.02533431	-0.00619881	0.1492154	0.2556525	16	37.82585	0.1430166	28.7677	25.0244	25.5172	22.3706	23.283	21.9019	22.1465	22.6445	13.7771	13.7957	5.5803	6.66438	6.71994	7.85292	22.5046	23.575	23.1359	27.5865	27.1542	19.9266	33.7684	32.8398	1.043343
190	-160.7419	-31.46503	-129.2769	0.01670166	-0.07650504	0.1774692	0.1566373	16	37.64615	0.1009642	28.7444	26.2568	25.5172	23.4727	22.5183	21.9019	22.1465	22.6445	13.7613	13.7957	5.5803	6.79711	9.08753	10.2268	23.2056	21.2943	22.1376	23.5041	28.6131	19.9266	33.7684	32.6067	1.757744
200	-155.5897	-31.46503	-124.1247	0.02577234	-0.01269494	0.1834068	0.1888672	17	37.2083	0.1707119	30.8632	27.6663	27.1368	27.8487	22.5183	21.9019	22.1465	22.2718	13.7613	13.7957	4.29703	6.79711	10.3624	9.46025	23.0448	20.8879	21.9977	26.1739	28.6131	19.9266	33.7684	32.6111	1.074365
210	-151.79	-31.46503	-120.325	0.01940564	0.07301035	0.1211747	0.253397	17	37.47192	0.1941851	29.6185	26.4049	27.1376	25.8633	21.7545	21.6149	22.9778	22.2718	13.7613	13.7957	5.15909	6.79711	11.2518	11.1101	23.5002	20.8879	22.2831	24.0297	28.9689	19.0759	33.7684	32.6111	0.6240167
220	-160.767	-31.46503	-129.302	0.01063687	0.009370174	0.2443233	0.1993005	17	37.36149	0.2536935	30.7214	26.0611	25.4673	25.8633	21.8381	21.6149	22.315	22.2718	13.7613	13.7957	2.90108	6.79711	12.1832	11.1101	23.3295	21.721	22.2831	24.0297	28.0681	19.0759	33.7684	34.7896	0.963065
230	-156.903	-31.46503	-125.438	0.005522268	0.0189505	0.09747565	0.2413731	17	37.76976	0.1164262	27.0215	26.0611	29.5296	25.8633	21.8381	21.6149	22.4523	22.2718	14.3919	13.7957	2.90108	6.79711	11.2683	8.16474	23.3295	21.2553	23.548	26.2944	29.6102	19.0759	33.7684	34.9416	0.8372316
240	-158.5823	-31.46503	-127.1173	0.009575242	-0.06068478	0.2058675	0.2384937	17	37.41131	0.1451827	29.9941	26.0611	29.5296	24.0816	21.9141	21.6149	22.4469	22.0792	13.9075	13.7957	4.16806	6.79711	11.8129	11.5398	23.0647	21.9719	23.548	26.3186	29.6102	19.0759	32.3851	30.907	1.417989
250	-164.3016	-31.46503	-132.8366	0.01979027	0.02698593	0.1481094	0.2108988	16	38.42871	0.1750953	28.5563	26.1421	27.8286	25.5898	23.3961	21.6149	23.094	22.2096	13.9075	13.7957	3.64821	6.79711	11.8129	10.064	23.0608	21.3388	23.548	25.2099	28.5571	17.1936	33.5107	27.8677	0.8458786
260	-161.7473	-31.46503	-130.2823	0.06223995	-0.0589565	0.1596144	0.1770239	16	38.7955	0.1006579	27.1849	25.9505	26.0104	26.2757	23.8355	21.8488	22.4092	22.0463	13.9075	13.7957	3.64821	6.57607	11.8129	11.1169	22.363	21.3388	23.548	25.0646	28.5571	17.1936	31.6894	27.7769	1.585712
270	-155.1572	-31.46503	-123.6922	0.06728339	0.06819813	0.04610811	0.2070755	18	38.00372	0.1143062	27.0367	25.9334	25.2394	26.2757	22.3987	21.8488	22.3749	22.1187	13.9075	13.7957	6.16117	6.21975	11.8129	10.654	22.0292	21.3388	23.2211	25.9925	28.5571	17.1936	31.6894	29.6602	0.4033735
280	-164.5173	-31.46503	-133.0523	0.01729469	0.05458268	0.06695289	0.3088229	16	38.07393	0.1215356	29.9448	29.934	25.7975	29.2269	23.1206	21.8488	22.3607	23.1028	13.9075	13.7957	6.16117	6.21975	11.8129	11.0561	22.2634	21.3388	23.1714	25.822	26.675	17.1936	31.6894	33.0295	0.5508913
290	-167.1494	-31.46503	-135.6844	0.07602199	-0.01532673	0.0544937	0.2570429	16	37.59056	0.03916697	24.5583	27.9402	25.352	30.8578	23.3503	21.8488	21.8393	23.0373	13.9075	13.7957	4.64204	6.21975	11.8129	10.7328	22.9184	21.3388	23.0045	25.8006	26.675	17.1936	31.6894	31.7868	1.391318
300	-161.6829	-31.46503	-130.2179	0.08324713	0.001762099	0.07135456	0.1898044	17	37.64189	0.07311666	26.0622	30.4404	25.352	30.3551	23.5185	21.8488	21.8393	22.8837	13.9075	13.7957	4.64204	6.21975	11.8129	10.7328	21.8768	21.3388	23.3569	25.8006	29.5654	17.1936	31.6894	32.8321	0.9759002
310	-172.3731	-31.46503	-140.9081	0.102134	0.02272683	0.1294201	0.2381655	15	37.03727	0.1521469	26.0622	30.7832	25.9655	30.3551	23.7638	22.938	21.8171	22.9597	13.9075	13.7957	5.46492	6.21975	11.8129	10.3969	21.8762	21.3388	23.2379	30.381	31.7817	15.6658	31.6894	32.6632	0.8506258
320	-183.6221	-31.46503	-152.1571	0.1397628	-0.07553212	0.1632759	0.1123379	13	37.20334	0.08774374	27.3065	30.7832	30.5297	30.3551	23.7638	22.938	21.8171	21.8029	13.9075	13.7957	5.46492	6.21975	11.8129	9.4113	23.1447	21.3388	22.5021	30.9085	31.9385	15.6658	32.098	32.7005	1.860826
330	-183.1404	-31.46503	-151.6754	0.1070075	-0.03172207	0.1338651	0.1255122	14	37.2262	0.102143	25.3145	25.0036	32.8464	30.3551	23.7638	22.938	21.8171	21.8029	13.9075	13.7957	5.46492	6.21975	11.8129	11.9252	23.1447	21.3388	22.5021	30.9085	31.9385	22.2067	32.098	31.237	1.310565
340	-174.5842	-31.46503	-143.1192	0.02615342	-0.003439527	0.08699901	0.1227323	15	37.01984	0.08355948	28.3079	26.2302	33.1667	28.8514	23.7638	23.1077	21.4309	22.5909	13.9075	13.7957	5.46492	6.21975	11.8129	11.9252	23.1447	21.3388	22.166	30.9085	25.1408	22.2067	32.098	32.5688	1.041163
350	-176.096	-31.46503	-144.631	0.01581729	0.02737404	0.09056901	0.1142322	15	37.97051	0.1179431	28.3079	26.2302	32.8296	22.6382	23.3256	22.1936	21.4309	22.5909	13.9075	13.7957	5.46492	6.21975	7.34363	11.8176	22.3129	21.3388	22.166	30.9085	26.2647	23.5423	31.177	34.9389	0.7679046
360	-174.9633	-31.46503	-143.4982	0.02174865	0.005425595	0.09363153	0.09072874	15	38.17246	0.09905712	29.0229	26.2302	32.8296	19.3818	23.3256	21.7401	22.2701	22.5909	13.9075	13.7957	5.46492	6.21975	7.50164	11.8176	22.8483	21.3388	23.7011	30.212	26.0351	22.9324	31.177	36.4247	0.9452276
370	-165.414	-31.46503	-133.949	0.04908936	-0.003418184	0.09402975	0.1934619	16	38.37152	0.09061156	26.1942	27.2236	32.8296	19.2931	23.3256	21.7401	23.4885	22.5909	13.9075	13.7957	4.83385	6.21975	7.5134	11.8176	22.8337	21.3388	23.7011	24.8259	25.5683	20.5064	31.177	34.8143	1.037723
380	-170.29	-31.46503	-138.825	0.07330638	0.04431503	0.08194306	0.1614615	15	38.30136	0.1262581	25.5253	27.2236	28.5895	19.9694	23.3256	22.5693	23.4885	22.5909	13.9075	13.7957	4.97304	6.21975	7.43187	11.8176	23.4403	23.4182	23.7011	23.7778	25.9987	20.5064	31.177	31.595	0.6490123
390	-165.1533	-31.46503	-133.6883	0.0706227	0.09452406	0.07118169	0.1521139	18	39.26476	0.1657058	23.8696	28.5366	28.2981	13.4474	23.193	22.2495	22.8625	22.5909	13.9075	13.7957	4.97304	6.21975	11.2733	8.78366	22.7929	23.4182	23.5602	23.7778	31.0085	20.5064	31.4626	33.0697	0.4295668
400	-159.8267	-31.46503	-128.3616	0.04501264	-0.05429074	0.09082713	0.2096454	18	38.77866	0.0365364	25.5812	27.9844	28.2981	13.5045	23.1745	22.2495	23.0934	22.5909	13.9075	13.7957	4.97304	6.21975	11.2733	8.78366	22.0044	23.1067	23.3652	24.1891	30.8112	20.5064	31.4626	33.0697	2.485936
