Iteration	Posterior	Likelihood	Prior	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	turnover
700	-154.4114	-31.46503	-122.9464	0.00640748	-0.003471217	0.1526583	0.1647306	17	40.34897	0.1491871	24.48	32.8384	27.8057	22.436	21.7509	23.1694	21.3116	23.0574	13.7904	13.9008	3.52522	5.81787	12.413	8.31708	22.8513	22.0795	23.2285	28.7112	31.4206	22.0197	31.5642	25.6978	1.023268
710	-149.5503	-31.46503	-118.0853	0.01286997	-0.03693852	0.1210764	0.3166704	18	40.01914	0.08413783	26.5723	33.2189	29.1424	22.436	21.7509	23.1694	21.3116	22.0979	13.7133	13.9008	2.87689	6.1163	11.1251	9.6267	22.5932	21.4972	22.6118	29.215	31.4206	22.0197	31.7032	27.0851	1.439024
720	-148.986	-31.46503	-117.521	0.009254128	-0.02526491	0.06274123	0.2725751	18	38.74796	0.03747632	28.5907	30.7874	29.1424	25.8957	21.7509	22.6962	21.3116	21.3761	13.7133	13.9008	5.75631	6.1163	11.0368	8.67818	22.2934	21.0438	22.5154	29.215	31.4206	22.2195	31.5208	25.717	1.674157
730	-156.1621	-31.46503	-124.6971	0.00487573	0.01082401	0.05108407	0.2243771	17	38.58267	0.06190808	23.6669	30.7874	29.1424	27.272	21.7509	22.6962	21.3116	23.1081	13.7133	13.9008	5.75631	6.28144	11.0368	8.67818	22.4253	21.3477	22.5154	29.215	31.1161	25.2337	31.9328	32.9105	0.82516
740	-154.0424	-31.46503	-122.5774	0.00861419	0.06862925	0.03526671	0.3408498	18	40.15256	0.103896	23.6669	29.4336	29.1424	24.1147	22.3689	22.6962	21.3116	22.5098	13.7133	13.9008	5.75631	6.89869	11.0368	9.66671	22.4253	21.3477	22.749	27.1465	33.2362	25.2337	31.9328	31.5254	0.3394426
750	-150.8894	-31.46503	-119.4244	0.007870513	-0.002601163	0.07497021	0.2985336	18	39.75438	0.07236905	25.185	32.036	29.1424	23.7469	21.7955	22.5782	21.3116	22.8404	13.7133	13.9008	5.75631	6.89869	11.0368	7.97387	21.9483	21.8279	23.8485	24.2145	28.7151	26.7801	33.3584	30.2479	1.035943
760	-149.0479	-31.46503	-117.5829	0.002712927	-0.009335159	0.1210924	0.3040013	18	40.42254	0.1117573	28.0007	31.2794	29.1424	18.2008	21.7955	22.5782	21.3116	23.1192	13.7727	14.1145	4.96059	6.89869	10.5915	9.3721	22.7633	21.4839	23.1748	25.6253	26.2189	25.257	31.9919	31.9044	1.083531
770	-150.4151	-31.46503	-118.9501	0.02954762	-0.01643965	0.1869351	0.2487963	18	40.31824	0.1704954	30.1653	32.3608	29.1424	18.2499	23.7326	21.8295	21.3116	23.1192	13.8534	13.9332	4.96059	6.89869	10.288	9.3721	23.5385	21.3146	23.3057	25.5125	26.3008	25.257	31.9919	24.4868	1.096423
780	-153.5262	-31.46503	-122.0612	0.04736802	-0.0004686841	0.09478981	0.1718035	17	42.24167	0.09432112	30.7411	33.1384	29.1424	19.1199	23.1518	21.5824	21.3116	23.1192	13.8449	13.9332	3.91077	5.70037	10.2264	9.89177	23.5011	22.9668	23.3057	25.4524	26.3945	25.257	31.9919	25.6681	1.004969
790	-151.5147	-31.46503	-120.0497	0.09194692	-0.02172708	0.07638155	0.2105248	18	42.13586	0.05465447	30.7411	32.3248	29.1424	19.4856	23.3608	22.2782	21.3116	23.1192	13.8449	13.9332	3.47839	5.70037	12.2631	9.89177	23.5011	21.6394	22.5248	29.2242	29.7302	25.257	31.6643	27.6936	1.397535
800	-156.5877	-31.46503	-125.1227	0.1064298	0.04606833	0.05534016	0.1998777	17	41.86311	0.1014085	30.7411	32.1678	29.7695	19.4856	23.7896	22.4157	21.3116	23.1192	13.8449	13.9332	3.47839	5.70037	9.83951	9.48575	23.5011	20.6485	21.8091	30.9474	30.0965	20.3543	31.0605	30.5013	0.5457153
810	-145.3121	-31.46503	-113.8471	0.04963559	0.009517463	0.0456531	0.2605505	19	41.87274	0.05517056	25.7542	32.4009	29.7695	17.5879	23.7564	22.4157	22.8617	22.8502	13.8449	13.9332	3.47839	5.70037	9.83951	9.48575	23.5011	20.6485	21.8091	30.9474	31.5788	20.3543	32.6288	24.2025	0.8274902
820	-145.0301	-31.46503	-113.5651	0.08008988	0.03634947	0.06080453	0.2328034	20	42.78869	0.097154	26.1642	33.3577	27.7348	15.568	22.4523	21.8157	22.8617	22.8502	13.8449	13.9332	3.47839	5.70037	9.6948	8.02017	23.5311	20.942	21.8091	27.4863	27.2913	20.3543	35.5373	24.268	0.6258572
